,nome,genero,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto
39,EMIDIO ALVES MADEIRA JUNIOR,M,80,12,0,16,4,2,10/03/1967,"300.056,22","56.761,57","45.061,77","39.330,09","32.196,96","44.434,07","26.760,94","20.847,93","15.245,77","11.938,26","7.418,86","60,00",,"1.114.845,39","110.980,22","110.980,22","111.528,12","111.617,15","111.623,22","111.623,22","111.623,28","111.623,32","111.623,32","111.623,32",,,"33.763,00"
40,ENRICO VAN BLARCUM DE GRAAFF MISASI,M,87,0,5,43,0,21,06/08/1994,"323.053,98","24.947,21","28.095,55","42.425,59","43.740,70","54.222,55","37.817,19","41.206,87","22.642,88","16.871,36","11.025,61","58,47",,"1.106.991,70","111.586,88","111.302,18","110.816,09","106.788,80","110.974,20","110.159,38","111.013,37","111.312,77","111.544,46","111.493,57",,,"33.763,00"
41,EROS FERREIRA BIONDINI,M,88,4,0,33,1,14,20/05/1971,"281.611,85","22.401,97","30.438,97","33.405,69","31.526,03","36.712,77","29.487,20","35.290,07","20.709,20","17.992,30","21.750,88","1.896,77",,"836.020,40","90.223,04","90.223,04","86.035,27","78.682,22","79.786,71","78.922,44","78.922,44","79.682,04","86.771,60","86.771,60",,,"33.763,00"
42,EUCLYDES MARCOS PETTERSEN NETO,M,77,14,1,6,6,13,15/08/1984,"239.749,55","39.458,55","34.224,98","28.593,33","36.303,64","35.945,83","21.880,35","11.556,55","10.510,19","6.865,31","11.508,98","2.901,84",,"1.102.008,88","101.942,13","110.241,46","111.623,19","111.623,22","111.623,22","110.951,73","109.856,30","110.901,19","111.623,22","111.623,22",,,"33.763,00"
43,EXPEDITO GONCALVES FERREIRA NETTO,M,82,9,1,2,3,16,05/10/1988,"222.912,39","14.767,54","30.093,83","33.348,33","30.510,09","25.416,15","18.925,02","27.570,19","12.641,28","1.388,85","26.729,31","1.521,80",,"1.099.381,29","111.544,33","111.544,33","111.544,33","111.529,16","111.539,45","111.100,52","109.785,83","109.894,82","110.132,19","100.766,33",,,"33.763,00"
44,EVAIR VIEIRA DE MELO,M,87,3,2,67,1,4,02/04/1972,"316.638,70","38.264,38","46.197,13","62.458,72","38.441,09","43.315,06","24.394,91","23.069,95","14.844,44","2.615,55","22.921,21","116,26",,"1.096.962,77","106.904,01","110.527,26","107.201,84","107.178,21","108.042,26","111.172,72","111.328,33","111.555,88","111.526,13","111.526,13",,,"33.763,00"
45,FÁBIO AUGUSTO RAMALHO DOS SANTOS,M,88,0,4,19,0,17,22/12/1961,"289.106,94","37.959,25","46.993,70","34.431,36","27.698,63","36.101,94","23.280,97","25.058,29","19.706,66","17.071,96","19.557,03","1.247,15",,"1.073.082,80","106.849,52","105.995,76","104.102,48","110.337,36","103.699,99","104.762,87","104.762,87","110.775,07","111.665,77","110.131,11",,,"33.763,00"
46,FABIO DE ALMEIDA REIS,M,80,4,8,35,0,1,15/04/1977,"312.655,57","39.865,80","33.581,68","32.144,11","43.493,01","38.648,54","34.772,71","32.086,43","21.185,40","13.796,32","22.090,53","991,04",,"1.107.209,05","108.307,92","109.336,37","109.408,57","111.574,66","111.574,66","111.574,66","111.574,66","111.574,66","111.574,66","110.708,23",,,"33.763,00"
47,FELIPE RIGONI LOPES,M,86,6,0,84,7,32,13/06/1991,"314.203,45","41.526,20","38.040,74","37.743,41","40.781,58","54.439,33","34.092,96","18.297,10","23.638,57","9.243,23","14.963,23","1.437,10",,"961.510,10","97.934,05","100.493,35","100.959,56","100.959,56","104.522,55","89.598,50","80.482,02","93.565,41","93.565,41","99.429,69",,,"33.763,00"
48,FÁBIO LUIZ SCHIOCHET FILHO,M,85,3,4,20,2,5,31/05/1988,"376.844,53","37.195,31","41.648,60","42.043,11","46.815,31","43.700,43","50.091,13","31.304,74","25.939,12","21.593,26","32.923,73","3.589,79",,"1.114.119,12","111.568,63","111.568,63","111.568,63","111.568,63","111.568,63","111.544,55","111.526,14","111.107,56","111.107,56","110.990,16",,,"33.763,00"
49,FÁBIO RICARDO TRAD,M,90,1,1,88,0,3,18/08/1969,"152.333,76","9.479,45","21.339,35","11.214,78","41.034,10","25.209,13","12.053,32","5.465,70","14.089,48","2.400,90","10.011,50","36,05",,"1.112.229,14","111.501,88","111.501,88","111.501,88","111.324,76","111.501,88","111.501,88","111.501,88","111.501,88","110.217,75","110.173,47",,,"33.763,00"
